Phrase,Total Gematria Value
בראשית ברא אלהים את השמים ואת הארץ,2701
והארץ היתה תהו ובהו וחשך על־פני תהום ורוח אלהים מרחפת על־פני המים,3546
ויאמר אלהים יהי אור ויהי־אור,813
וירא אלהים את־האור כי־טוב ויבדל אלהים בין האור ובין החשך,1776
ויקרא אלהים ׀ לאור יום ולחשך קרא לילה ויהי־ערב ויהי־בקר יום אחד,2141
ויאמר אלהים יהי רקיע בתוך המים ויהי מבדיל בין מים למים,1660
ויעש אלהים את־הרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי־כן,4541
ויקרא אלהים לרקיע שמים ויהי־ערב ויהי־בקר יום שני,2255
ויאמר אלהים יקוו המים מתחת השמים אל־מקום אחד ותראה היבשה ויהי־כן,3068
ויקרא אלהים ׀ ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כי־טוב,2074
ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו־בו על־הארץ ויהי־כן,5165
ותוצא הארץ דשא עשב מזריע זרע למינהו ועץ עשה־פרי  אשר זרעו־בו למינהו וירא אלהים כי־טוב,4335
ויהי־ערב ויהי־בקר יום שלישי,1342
ויאמר אלהים יהי מארת ברקיע השמים להבדיל בין היום ובין הלילה והיו לאתת ולמועדים ולימים ושנים,3744
והיו למאורת ברקיע השמים להאיר על־הארץ ויהי־כן,2224
ויעש אלהים את־שני המארת הגדלים את־המאור הגדל לממשלת היום ואת־המאור הקטן לממשלת הלילה ואת הכוכבים,5820
ויתן אתם אלהים ברקיע השמים להאיר על־הארץ,2412
ולמשל ביום ובלילה ולהבדיל בין האור ובין החשך וירא אלהים כי־טוב,1659
ויהי־ערב ויהי־בקר יום רביעי,984
ויאמר אלהים ישרצו המים שרץ נפש חיה ועוף יעופף על־הארץ על־פני רקיע השמים,3906
ויברא אלהים את־התנינם הגדלים ואת כל־נפש החיה ׀ הרמשת אשר שרצו המים למינהם ואת כל־עוף כנף למינהו וירא אלהים כי־טוב,5834
ויברך אתם אלהים לאמר פרו ורבו ומלאו את־המים בימים והעוף ירב בארץ,2889
ויהי־ערב ויהי־בקר יום חמישי,1060
ויאמר אלהים תוצא הארץ נפש חיה למינה בהמה ורמש וחיתו־ארץ למינה ויהי־כן,3279
ויעש אלהים את־חית הארץ למינה ואת־הבהמה למינה ואת כל־רמש האדמה למינהו וירא אלהים כי־טוב,3864
ויאמר אלהים נעשה אדם בצלמנו כדמותנו וירדו בדגת הים ובעוף השמים ובבהמה ובכל־הארץ ובכל־הרמש הרמש על־הארץ,4764
ויברא אלהים ׀ את־האדם בצלמו בצלם אלהים ברא אתו זכר ונקבה ברא אתם,2816
ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ומלאו את־הארץ וכבשה ורדו בדגת הים ובעוף השמים ובכל־חיה הרמשת על־הארץ,5457
ויאמר אלהים הנה נתתי לכם את־כל־עשב ׀ זרע זרע אשר על־פני כל־הארץ ואת־כל־העץ אשר־בו פרי־עץ זרע זרע לכם יהיה לאכלה,6158
ולכל־חית הארץ ולכל־עוף השמים ולכל ׀ רומש על־הארץ אשר־בו נפש חיה את־כל־ירק עשב לאכלה ויהי־כן,4747
וירא אלהים את־כל־אשר עשה והנה־טוב מאד ויהי־ערב ויהי־בקר יום הששי,3065
ויכלו השמים והארץ וכל־צבאם,958
ויכל אלהים ביום השביעי מלאכתו אשר עשה וישבת ביום השביעי מכל־מלאכתו אשר עשה,4616
ויברך אלהים את־יום השביעי ויקדש אתו כי בו שבת מכל־מלאכתו אשר־ברא אלהים לעשות,4928
אלה תולדות השמים והארץ בהבראם ביום עשות יהוה אלהים ארץ ושמים,3462
וכל ׀ שיח השדה טרם יהיה בארץ וכל־עשב השדה טרם יצמח כי לא המטיר יהוה אלהים על־הארץ ואדם אין לעבד את־האדמה,3906
ואד יעלה מן־הארץ והשקה את־כל־פני־האדמה,1574
וייצר יהוה אלהים את־האדם עפר מן־האדמה ויפח באפיו נשמת חיים ויהי האדם לנפש חיה,2999
ויטע יהוה אלהים גן־בעדן מקדם וישם שם את־האדם אשר יצר,2518
ויצמח יהוה אלהים מן־האדמה כל־עץ נחמד למראה וטוב למאכל ועץ החיים בתוך הגן ועץ הדעת טוב ורע,2806
ונהר יצא מעדן להשקות את־הגן ומשם יפרד והיה לארבעה ראשים,3391
שם האחד פישון הוא הסבב את כל־ארץ החוילה אשר־שם הזהב,2551
וזהב הארץ ההוא טוב שם הבדלח ואבן השהם,1148
ושם־הנהר השני גיחון הוא הסובב את כל־ארץ כוש,2203
ושם הנהר השלישי חדקל הוא ההלך קדמת אשור והנהר הרביעי הוא פרת,3781
ויקח יהוה אלהים את־האדם וינחהו בגן־עדן לעבדה ולשמרה,1643
ויצו יהוה אלהים על־האדם לאמר מכל עץ־הגן אכל תאכל,1455
ומעץ הדעת טוב ורע לא תאכל ממנו כי ביום אכלך ממנו מות תמות,3183
ויאמר יהוה אלהים לא־טוב היות האדם לבדו אעשה־לו  עזר כנגדו,1702
ויצר יהוה אלהים מן־האדמה כל־חית השדה ואת כל־עוף השמים ויבא אל־האדם לראות מה־יקרא־לו וכל אשר יקרא־לו האדם נפש חיה הוא שמו,5247
ויקרא האדם שמות לכל־הבהמה ולעוף השמים ולכל חית השדה ולאדם לא־מצא עזר כנגדו,3258
ויפל יהוה אלהים ׀ תרדמה על־האדם ויישן ויקח אחת מצלעתיו ויסגר בשר תחתנה,4236
ויבן יהוה אלהים ׀ את־הצלע אשר־לקח מן־האדם לאשה ויבאה אל־האדם,1996
ויאמר האדם זאת הפעם עצם מעצמי ובשר מבשרי לזאת יקרא אשה כי מאיש לקחה־זאת,4407
על־כן יעזב־איש את־אביו ואת־אמו ודבק באשתו והיו לבשר אחד,2837
ויהיו שניהם ערומים האדם ואשתו ולא יתבששו,2626
והנחש היה ערום מכל חית השדה אשר עשה יהוה אלהים ויאמר אל־האשה אף כי־אמר אלהים לא תאכלו מכל עץ הגן,4348
ותאמר האשה אל־הנחש מפרי עץ־הגן נאכל,2001
ומפרי העץ אשר בתוך־הגן אמר אלהים לא תאכלו ממנו ולא תגעו בו פן־תמתון,3989
ויאמר הנחש אל־האשה לא־מות תמתון,2335
כי ידע אלהים כי ביום אכלכם ממנו ונפקחו עיניכם והייתם כאלהים ידעי טוב ורע,1949
ותרא האשה כי טוב העץ למאכל וכי תאוה־הוא לעינים ונחמד העץ להשכיל ותקח מפריו ותאכל ותתן גם־לאישה עמה ויאכל,5323
ותפקחנה עיני שניהם וידעו כי עירמם הם ויתפרו עלה תאנה ויעשו להם חגרת,4066
וישמעו את־קול יהוה אלהים מתהלך בגן לרוח היום ויתחבא האדם ואשתו מפני יהוה אלהים בתוך עץ הגן,4064
ויקרא יהוה אלהים אל־האדם ויאמר לו איכה,839
ויאמר את־קלך שמעתי בגן ואירא כי־עירם אנכי ואחבא,2350
ויאמר מי הגיד לך כי עירם אתה המן־העץ אשר צויתיך לבלתי אכל־ממנו אכלת,3542
ויאמר האדם האשה אשר נתתה עמדי הוא נתנה־לי מן־העץ ואכל,2967
ויאמר יהוה אלהים לאשה מה־זאת עשית ותאמר האשה הנחש השיאני ואכל,3692
ויאמר יהוה אלהים ׀ אל־הנחש כי עשית זאת ארור אתה מכל־הבהמה ומכל חית השדה על־גחנך תלך ועפר תאכל כל־ימי חייך,5365
ואיבה ׀ אשית בינך ובין האשה ובין זרעך ובין זרעה הוא ישופך ראש ואתה תשופנו עקב,4266
אל־האשה אמר הרבה ארבה עצבונך והרנך בעצב תלדי בנים ואל־אישך תשוקתך והוא ימשל־בך,4246
ולאדם אמר כי־שמעת  לקול אשתך ותאכל מן־העץ אשר צויתיך לאמר לא תאכל ממנו ארורה האדמה בעבורך בעצבון תאכלנה כל ימי חייך,6338
וקוץ ודרדר תצמיח לך ואכלת את־עשב השדה,2758
בזעת אפיך תאכל לחם עד שובך אל־האדמה כי ממנה לקחת כי־עפר אתה ואל־עפר תשוב,4191
ויקרא האדם שם אשתו חוה כי הוא היתה אם כל־חי,2004
ויעש יהוה אלהים לאדם ולאשתו כתנות עור וילבשם,2856
ויאמר ׀ יהוה אלהים הן האדם היה כאחד ממנו לדעת טוב ורע ועתה ׀ פן־ישלח ידו ולקח גם מעץ החיים ואכל וחי לעלם,3150
